stock_name,industry,cap,market_cap,pe_ratio,pb_ratio,div_yield,book_value,eps,roe
Reliance Industries,"Oil, Gas & Fuels",Large Cap,1976492.87,28.25,2.63,0.31,1110.3411974,103.42,9.1179
Tata Consultancy Services,IT Services,Large Cap,1510895.49,33.67,15.01,2.79,275.0437064,122.62,44.352
HDFC Bank,Banks,Large Cap,1078493.29,18.27,2.47,0.98,575.7612016,77.72,13.498983957685857
ICICI Bank,Banks,Large Cap,717745.02,16.91,3.0,0.78,341.2868953,60.47,17.719490172211653
Infosys,IT Services,Large Cap,706572.19,28.97,10.09,2.0,168.8040214,58.77,30.4621
Life Insurance Corporation of India Ltd.,Insurance,Large Cap,657420.26,16.3,10.59,0.29,98.1037101,63.76,0.0
Bharti Airtel,Telecom Services,Large Cap,658060.62,74.96,8.09,0.34,138.3623359,14.94,14.6349
State Bank of India,Banks,Large Cap,673585.09,10.56,1.84,1.5,410.5450241,71.48,18.845496130574162
Hindustan Unilever,Personal Products,Large Cap,558039.67,54.08,11.08,1.64,214.3520022,43.92,20.4193
ITC,Tobacco,Large Cap,505092.18,24.62,7.31,3.81,55.3725657,16.44,29.2118
Larsen & Toubro,Construction,Large Cap,465861.99,36.83,5.94,0.72,570.4213893,92.02,15.6295
HCL Technologies,IT Services,Large Cap,452639.34,28.83,6.89,2.88,242.0443595,57.85,23.5145
Bajaj Finance,Consumer Finance,Large Cap,409208.53,29.69,5.96,0.44,1111.1980461,223.04,21.91
Kotak Mahindra Bank,Banks,Large Cap,345036.56,19.78,2.87,0.09,604.9194131,87.75,14.506689132294687
Sun Pharmaceutical Industries,Pharmaceuticals,Large Cap,362407.55,40.69,6.06,0.76,249.3426064,37.12,14.2891
Maruti Suzuki India,Auto Manufacturers,Large Cap,357401.84,29.32,4.55,0.76,2501.0688059,387.68,17.309
Oil & Natural Gas Corporation,"Oil, Gas & Fuels",Large Cap,345328.66,8.23,1.12,4.1,246.1212462,33.34,15.8661
Axis Bank,Banks,Large Cap,329850.18,24.57,2.22,0.09,481.0807905,43.52,15.967804850377876
Adani Enterprises,Trading Companies,Large Cap,367422.36,104.61,10.02,0.04,321.680825,30.81,7.408
Titan Company,Apparel & Luxury,Large Cap,324627.89,94.07,26.16,0.27,139.7721566,38.87,26.6097
Asian Paints,Chemicals,Large Cap,288497.92,53.06,17.42,0.85,172.6645948,56.69,30.5677
NTPC,Energy,Large Cap,327407.93,16.79,2.13,2.15,158.484312,20.11,12.445
Adani Green Energy,Energy,Large Cap,301924.51,207.18,38.06,0.0,50.0812489,9.2,18.3994
